# original     6746
70     7826
71     7734
72     7682
73     7617
74     7565
75     7498
76     7452
77     7406
78     7359
79     7275
80     7230
81     7168
82     7100
83     7065
84     7032
85     7005
86     6971
87     6936
88     6902
89     6862
90     6848
91     6827
92     6818
93     6811
94     6805
95     6799
96     6793
97     6789
98     6778
99     6760
100     6755
101     6748
102     6742
103     6738
104     6736
105     6729
106     6728
107     6727
108     6726
109     6724
110     6723
111     6716
112     6714
113     6714
114     6713
115     6709
116     6708
117     6708
118     6707
119     6707
120     6707
