# original   554260
70   717432
71   710678
72   704628
73   698890
74   693145
75   687929
76   683034
77   678530
78   674293
79   670409
80   667144
81   664280
82   661407
83   658837
84   656703
85   654626
86   652743
87   650243
88   648724
89   647413
90   646183
91   645034
92   644151
93   642958
94   642061
95   641227
96   639959
97   639252
98   638484
99   637866
100   637320
101   636871
102   636323
103   635802
104   635368
105   634918
106   634435
107   634058
108   633693
109   633389
110   633048
111   632770
112   632472
113   632260
114   632037
115   631831
116   631609
117   631419
118   631196
119   631061
120   630867
